,clockwise_90,anticlockwise_90,rotation_180
0,100.0,100.0,100.0
1,88.98678414096916,88.98678414096916,88.98678414096916
2,99.31662870159454,99.31662870159454,99.31662870159454
3,95.47169811320755,95.47169811320755,95.47169811320755
4,97.14964370546319,97.14964370546319,97.14964370546319
5,99.30555555555556,99.30555555555556,99.30555555555556
6,100.0,100.0,100.0
7,99.14529914529915,99.14529914529915,99.14529914529915
8,100.0,100.0,100.0
9,100.0,100.0,100.0
10,97.15447154471545,97.15447154471545,97.15447154471545
11,100.0,100.0,100.0
12,90.7488986784141,90.7488986784141,90.7488986784141
13,98.24561403508771,98.24561403508771,98.24561403508771
14,94.11764705882352,94.11764705882352,94.11764705882352
15,100.0,100.0,100.0
16,95.74468085106383,95.74468085106383,95.74468085106383
17,98.11320754716981,98.11320754716981,98.11320754716981
18,99.672131147541,99.672131147541,99.672131147541
19,99.29078014184397,99.29078014184397,99.29078014184397
20,95.74468085106383,95.74468085106383,95.74468085106383
21,98.0,98.0,98.0
22,98.0392156862745,98.0392156862745,98.0392156862745
23,95.17241379310344,95.17241379310344,95.17241379310344
24,96.20253164556962,96.20253164556962,96.20253164556962
25,98.0,98.0,98.0
26,100.0,100.0,100.0
27,98.54014598540147,98.54014598540147,98.54014598540147
28,100.0,100.0,100.0
29,99.09909909909909,99.09909909909909,99.09909909909909
30,100.0,100.0,100.0
31,100.0,100.0,100.0
32,99.24812030075188,99.24812030075188,99.24812030075188
33,98.52941176470588,98.52941176470588,98.52941176470588
34,97.9746835443038,97.9746835443038,97.9746835443038
35,100.0,100.0,100.0
36,100.0,100.0,100.0
37,100.0,100.0,100.0
38,91.66666666666666,91.66666666666666,91.66666666666666
39,100.0,100.0,100.0
40,96.27329192546584,96.27329192546584,96.27329192546584
41,94.07407407407408,94.07407407407408,94.07407407407408
42,97.85714285714285,97.85714285714285,97.85714285714285
