,clockwise_90,anticlockwise_90,rotation_180
0,100.0,100.0,100.0
1,92.08633093525181,92.08633093525181,92.08633093525181
2,98.91774891774891,98.91774891774891,98.91774891774891
3,99.31192660550458,99.31192660550458,99.31192660550458
4,99.78213507625271,99.78213507625271,99.78213507625271
5,99.54853273137697,99.54853273137697,99.54853273137697
6,100.0,100.0,100.0
7,100.0,100.0,100.0
8,100.0,100.0,100.0
9,100.0,100.0,100.0
10,99.32432432432432,99.32432432432432,99.32432432432432
11,100.0,100.0,100.0
12,97.95918367346938,97.95918367346938,97.95918367346938
13,99.29411764705883,99.29411764705883,99.29411764705883
14,98.71244635193133,98.71244635193133,98.71244635193133
15,100.0,100.0,100.0
16,98.55371900826447,98.55371900826447,98.55371900826447
17,100.0,100.0,100.0
18,96.7741935483871,96.7741935483871,96.7741935483871
19,99.7872340425532,99.7872340425532,99.7872340425532
20,100.0,100.0,100.0
21,98.14385150812065,98.14385150812065,98.14385150812065
22,99.76470588235294,99.76470588235294,99.76470588235294
23,96.84684684684684,96.84684684684684,96.84684684684684
24,99.38144329896907,99.38144329896907,99.38144329896907
25,99.33035714285714,99.33035714285714,99.33035714285714
26,99.77375565610859,99.77375565610859,99.77375565610859
27,100.0,100.0,100.0
28,99.7872340425532,99.7872340425532,99.7872340425532
29,99.79166666666667,99.79166666666667,99.79166666666667
30,99.77324263038548,99.77324263038548,99.77324263038548
31,99.78070175438597,99.78070175438597,99.78070175438597
32,99.78165938864629,99.78165938864629,99.78165938864629
33,100.0,100.0,100.0
34,99.55156950672645,99.55156950672645,99.55156950672645
35,99.28571428571429,99.28571428571429,99.28571428571429
36,100.0,100.0,100.0
37,98.63325740318906,98.63325740318906,98.63325740318906
38,97.32142857142857,97.32142857142857,97.32142857142857
39,100.0,100.0,100.0
40,84.74945533769062,84.74945533769062,84.74945533769062
41,98.88143176733782,98.88143176733782,98.88143176733782
42,99.78308026030369,99.78308026030369,99.78308026030369
